id,user_id,session_id,status,created_at,group_type,distance_m,credit_source
00123be4-f7c3-4041-ab67-7765ca7f55b3,ed41239e-7b83-4b6a-b5d8-eee6eb1d51ec,c9729033-1856-4505-b5bd-65077d06e686,reserved,2025-09-28 13:04:12.550146+00,,,remaining
02f184ab-4304-4e0e-a07b-99db8b2fc688,65b66795-9d83-4f84-b367-25e6257e7687,c9729033-1856-4505-b5bd-65077d06e686,reserved,2025-09-28 10:46:54.445194+00,,,remaining
0459705f-2103-44b7-9be6-f5b0cf77c300,5fdbd65f-9741-4bb4-b6f4-2b5be5731bde,e8d5a8d5-1c33-4f13-b20f-9d63c5867de2,reserved,2025-09-28 14:03:03.212274+00,,,remaining
0567eea9-51aa-458f-bc80-64fb16446f1f,ffbe097c-5542-481c-8006-e081039f4568,2f75a4ad-e3dd-44d9-8a26-dfab55b378f4,attended,2025-09-23 17:19:59.113241+00,youth,10,remaining
070ac016-3775-4f59-8658-4dc4fd884726,485cbab1-e2c7-498c-9c13-cb347501c3a1,6cd8b45f-da2d-4ee5-a3c0-1ce081fb97ac,attended,2025-09-21 03:37:37.743735+00,ownbow,40,remaining
0c6442dc-effe-4b14-975b-384227f30de0,022f8edb-364d-4125-846e-58791f6f8dbf,f1f0ca3e-408b-47b0-9859-32e333960e92,attended,2025-09-26 22:38:25.507862+00,,,remaining
0dcfa72f-61fe-4ca3-8383-e589d47f666f,4de1f650-3e7d-472c-97e7-dd76870f3233,c51e50b8-5573-4799-a529-d0b39bf04ae4,reserved,2025-09-24 16:12:06.437421+00,,,remaining
10331c57-e95a-4fe3-abf1-481ced4355e1,ed41239e-7b83-4b6a-b5d8-eee6eb1d51ec,c51e50b8-5573-4799-a529-d0b39bf04ae4,reserved,2025-09-28 13:23:45.345065+00,,,remaining
110c91ff-db68-4479-8f0a-54ea3253ecba,dd51afd7-eebe-4f72-8bd8-fac5a33673ee,ef58af3d-d618-46f7-a2a0-3e6fd8492b10,no_show,2025-09-19 05:01:57.527684+00,assigned,20,remaining
11b157c7-f8fb-4ed8-917b-9f9477c99da0,c84e813c-952d-431c-b0f1-2af6c19a327d,6cd8b45f-da2d-4ee5-a3c0-1ce081fb97ac,attended,2025-09-19 20:50:10.353903+00,assigned,20,remaining
134ef742-3653-42ed-906b-b0a5fbc51f64,c7342efd-49f9-4db4-85b6-bbd645b939c0,769a4500-7978-4053-8f9d-2bb1829760c8,reserved,2025-09-27 23:39:11.006636+00,,,remaining
1577db6c-632b-478a-bd6f-092ce4098fa5,ea2b5418-1bae-4953-a794-8fb568b85ce7,769a4500-7978-4053-8f9d-2bb1829760c8,reserved,2025-09-28 01:02:58.726892+00,,,remaining
206d0cc1-4367-4c38-9b56-e6bf0a572e37,c84e813c-952d-431c-b0f1-2af6c19a327d,c9729033-1856-4505-b5bd-65077d06e686,reserved,2025-09-28 02:32:43.906657+00,,,remaining
250a7baa-b1f1-41d3-8b62-72c510780789,880d9bc3-c2a1-4d68-9a41-a2a732cdc1e5,c9729033-1856-4505-b5bd-65077d06e686,reserved,2025-09-27 22:06:23.040016+00,,,remaining
26600d5e-a314-485b-be79-3f5e031847ca,485cbab1-e2c7-498c-9c13-cb347501c3a1,769a4500-7978-4053-8f9d-2bb1829760c8,reserved,2025-09-28 13:45:09.835173+00,,,remaining
28a50a7e-bba6-4acf-be15-94c802454b73,e0b5bcfd-726a-4547-bdfd-0d9446a08d01,769a4500-7978-4053-8f9d-2bb1829760c8,reserved,2025-09-27 02:58:22.601039+00,,,remaining
2ffa9605-a585-4ca4-9b0e-d1aa24cf9841,74ea798b-b624-4315-be43-9aa0fb4b7351,f1f0ca3e-408b-47b0-9859-32e333960e92,attended,2025-09-27 00:52:59.541535+00,,,remaining
37289ab2-b8ba-48e5-bb6c-10b31ddd7d27,4de1f650-3e7d-472c-97e7-dd76870f3233,6cd8b45f-da2d-4ee5-a3c0-1ce081fb97ac,attended,2025-09-17 19:58:23.023841+00,youth,10,remaining
37f375d2-21de-4263-90e5-f3520c3c0e42,680af420-7dac-4fb8-9bc8-d499217e006d,f1f0ca3e-408b-47b0-9859-32e333960e92,attended,2025-09-27 03:25:45.673281+00,,,remaining
3d4fa048-f649-4ad4-aa3e-0824c25d64ac,82996fcf-1aaa-4f4d-bf82-7fa80f73d40d,fc6f187a-36e2-4740-84a6-375781cc58e4,attended,2025-09-12 00:47:18.047044+00,ownbow,50,remaining
4051498b-a4a5-4903-9483-3800602ba2de,ffbe097c-5542-481c-8006-e081039f4568,ef58af3d-d618-46f7-a2a0-3e6fd8492b10,attended,2025-09-16 18:28:06.953306+00,youth,10,remaining
415a53a1-fb0b-4d35-a693-ad6dc5c0ef44,5fdbd65f-9741-4bb4-b6f4-2b5be5731bde,8a7a284c-3010-481f-8f55-dc778e44022c,attended,2025-09-23 20:03:25.581981+00,youth,10,remaining
488c1bfd-e996-4daa-b1c5-cf1b74092ca4,dd51afd7-eebe-4f72-8bd8-fac5a33673ee,2f75a4ad-e3dd-44d9-8a26-dfab55b378f4,attended,2025-09-26 05:20:13.146419+00,,,remaining
