id,profile_id,membership_id,name,classes_total,classes_used,start_date,end_date,status,created_at
04cad110-0d99-421f-96a8-e4182779c9ef,dccfde89-b67b-48c8-850a-7e5b18714c0b,205aa4d6-5b2b-4bc2-8c12-2fbc201b9838,Membresía Básica,4,0,2025-09-28,2025-11-03,active,2025-09-29 19:23:15.653528+00
065b11e2-d1ed-415e-a717-ab18c869e779,e5f7310e-bc61-4bd8-a283-82e4a7587b39,205aa4d6-5b2b-4bc2-8c12-2fbc201b9838,Membresía Básica,1,0,2025-09-11,,active,2025-09-11 07:04:32.415872+00
12a0a346-074d-408f-8aa3-fc09f43dc9ae,2572756d-d4cd-446e-9d58-13af70afb450,205aa4d6-5b2b-4bc2-8c12-2fbc201b9838,Membresía Básica,2,0,2025-08-23,2025-09-21,expired,2025-09-16 21:16:05.763253+00
16d8ff4a-b01f-4c98-b612-ca4ec7fa743c,680af420-7dac-4fb8-9bc8-d499217e006d,83607f65-27d5-405d-a793-74d7a3f9eaa7,Membresía Regular,7,0,2025-08-30,2025-10-04,active,2025-09-16 20:54:14.925099+00
18d904c6-ef4f-4b04-a6fb-4d8655d9890b,e0b5bcfd-726a-4547-bdfd-0d9446a08d01,0d599b53-8588-4b64-a0ac-18e32d96547d,Media Beca,3,0,2025-09-14,2025-10-05,active,2025-09-16 20:24:18.334905+00
19e36596-b8b6-4c96-ac01-8af7ba39bfa0,ed41239e-7b83-4b6a-b5d8-eee6eb1d51ec,83607f65-27d5-405d-a793-74d7a3f9eaa7,Membresía Regular,4,0,2025-08-22,2025-09-28,active,2025-09-16 20:12:41.839234+00
252d7760-9145-4c14-9bef-f8f764089d82,e735f71d-eaed-4e50-a388-c3384247c51c,205aa4d6-5b2b-4bc2-8c12-2fbc201b9838,Membresía Básica,2,0,2025-09-11,,active,2025-09-11 07:03:43.608637+00
2a3a40db-0fe3-4ba3-bda4-cb4f4132efef,2572756d-d4cd-446e-9d58-13af70afb450,205aa4d6-5b2b-4bc2-8c12-2fbc201b9838,Membresía Básica,4,0,2025-09-28,2025-10-19,active,2025-09-26 17:25:48.258712+00
31887b82-36b0-4117-a445-1e03ba0ed426,826073c4-1ddb-4710-a19c-024146d3f1b1,96a7a8b4-ad60-472e-80e7-d89503062884,Beca completa,6,0,2025-09-16,2025-10-11,active,2025-09-16 17:19:27.421195+00
40bcf2f9-acb4-4bf8-b475-8107e55716bb,cbdb29dd-68fd-4c16-9d34-606a8f14c48f,83607f65-27d5-405d-a793-74d7a3f9eaa7,Membresía Regular,8,0,2025-09-25,2025-10-05,active,2025-09-25 14:59:02.314322+00
42df7a5b-3688-4507-b5bf-19b613831936,fb7930f4-2464-4b75-88ea-26347cb383fc,205aa4d6-5b2b-4bc2-8c12-2fbc201b9838,Membresía Básica,4,0,2025-09-23,2025-10-19,active,2025-09-23 16:44:40.755267+00
